HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,Xstart,Ystart,Xend,Yend,Link,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label,,,,,,,,,,
N/A,,Şidī‘,Al Jawf,Saudi Arabia,,,30.8922457095346,38.059334867307,30.9122457095346,38.079334867307,30.8722457095346,38.039334867307,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=38.079334867307,30.9122457095346&visible=38.039334867307,30.8722457095346",Lake,9,Egridir,Egridir,,,New or modified in version 1.2,,-99,,7,8,,,,,,,,,,
N/A,,Bayt Jarbū‘ al ‘Azw,Hims,Saudi Arabia,,,31.5081864241111,37.7895501447908,31.5281864241111,37.8095501447908,31.4881864241111,37.7695501447908,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=37.8095501447908,31.5281864241111&visible=37.7695501447908,31.4881864241111",Lake,7,Beysehir,Beysehir,,,New or modified in version 1.2,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Zowli,Daykundi,Afghanistan,4258,,33.4865619280378,65.7457528446762,33.5065619280378,65.7657528446762,33.4665619280378,65.7257528446762,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=65.7657528446762,33.5065619280378&visible=65.7257528446762,33.4665619280378",Lake,5,Engozero,Engozero,,,New or modified in version 1.2,,-99,,4.7,6,,,,,,,,,,
N/A,,Amboasary,Toliary,Norway,,,-79.8435816912243,46.2532547101441,-79.8235816912243,46.2732547101441,-79.8635816912243,46.2332547101441,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=46.2732547101441,-79.8235816912243&visible=46.2332547101441,-79.8635816912243",Lake,4,Lake Nipissing,L. Nipissing,,,,,-99,,4,5,,,,,,,,,,
N/A,,Dārū Khān Kêlay,Kandahar,Afghanistan,3853,,30.7884090196577,66.1674294567923,30.8084090196577,66.1874294567923,30.7684090196577,66.1474294567923,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=66.1874294567923,30.8084090196577&visible=66.1474294567923,30.7684090196577",Lake,4,Pjrvi,Pjrvi,"Lake Pya, Ozero Pjaozero",,New or modified in version 1.2,,-99,,4,5,,,,,,,,,,
N/A,,Umm S̄alib,Al Dhahira,Heard and McDonald Islands,,,-76.3120324045679,56.338905615993,-76.2920324045679,56.358905615993,-76.3320324045679,56.318905615993,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=56.358905615993,-76.2920324045679&visible=56.318905615993,-76.3320324045679",Lake,4,,,,_untitled_27,,,-99,,4,5,,,,,,,,,,
N/A,,,,,,,-156.778334662235,57.6139438326638,-156.758334662235,57.6339438326638,-156.798334662235,57.5939438326638,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=57.6339438326638,-156.758334662235&visible=57.5939438326638,-156.798334662235",Lake,4,,,,_untitled_26,,,-99,,4,5,,,,,,,,,,
N/A,,Polnovatskiye,Khanty-Mansiy,Russia,625511,,66.094096613973,65.7676829721475,66.114096613973,65.7876829721475,66.074096613973,65.7476829721475,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=65.7876829721475,66.114096613973&visible=65.7476829721475,66.074096613973",Lake,9,Ozero Pitlyarskiy Sor,O. Pitlyarskiy Sor,Lake Pitlyarskiy Sor,,New or modified in version 1.2,,-99,,7,8,,,,,,,,,,
N/A,,,,,,,-126.377694045249,67.4155333558306,-126.357694045249,67.4355333558306,-126.397694045249,67.3955333558306,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=67.4355333558306,-126.357694045249&visible=67.3955333558306,-126.397694045249",Lake,5,,,,_untitled_6,,,-99,,4.7,6,,,,,,,,,,
N/A,,,,,,,-159.837157728152,66.4846068037767,-159.817157728152,66.5046068037767,-159.857157728152,66.4646068037767,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=66.5046068037767,-159.817157728152&visible=66.4646068037767,-159.857157728152",Lake,4,,,,_untitled_25,,,-99,,4,5,,,,,,,,,,
