,Latitude,Longitude,,,
,156.778335,57.613944,,,
8,-126.377694,67.415533,,,
9,-159.837158,66.484607,,,
10,-120.354081,65.927523,,,
11,-115.507797,60.230841,,,
12,-113.927673,61.816875,,,
13,-163.556980,62.639328,,,
14,-111.352895,62.669353,,,
16,-97.481459,52.400608,,,
17,-105.044335,21.803665,,,
20,-91.498530,51.116886,,,
21,-106.014944,60.021990,,,
25,-101.996173,57.021389,,,
27,-110.328518,44.432171,,,
28,-153.522500,70.603055,,,
29,-114.104769,47.901694,,,
32,-112.028107,58.564004,,,
34,-104.341226,55.418135,,,
36,-134.179318,59.982692,,,
37,-95.198662,56.446201,,,
39,-105.468178,21.866511,,,
40,-102.301897,54.059203,,,
42,-125.982007,67.186371,,,
43,-103.043322,20.217336,,,
44,-101.077189,54.064943,,,
45,-100.786984,54.217718,,,
46,-106.626298,71.053285,,,
47,-118.595150,65.038837,,,
51,-108.291287,70.803517,,,
52,-101.655520,62.300515,,,
53,-90.022834,53.782500,,,
54,-93.115115,48.645110,,,
56,-100.940573,62.349674,,,
57,-93.309007,29.958728,,,
58,-99.777789,62.380435,,,
60,120.137632,31.237299,,,
61,-138.792405,61.335001,,,
62,-91.941169,51.942136,,,
63,-104.677518,63.168889,,,
65,-106.488806,62.462415,,,
66,97.688771,34.936131,,,
68,-111.432358,64.971428,,,
70,-112.300403,65.878953,,,
73,-108.049301,64.726664,,,
74,-101.732384,64.454230,,,
75,-116.972026,67.374617,,,
77,-116.169489,64.239344,,,
78,-116.257841,63.012729,,,
79,-108.249172,64.620399,,,
82,-108.976008,64.641446,,,
83,-117.767190,64.547544,,,
84,-112.228396,41.498097,,,
85,-109.280483,64.646450,,,
89,114.706873,30.278261,,,
92,-109.088930,59.807104,,,
93,-111.442075,64.229778,,,
95,-96.731436,45.708681,,,
98,-119.066426,63.983689,,,
99,-92.764919,29.895735,,,
100,-117.654482,60.936432,,,
101,-92.507526,29.755912,,,
102,-104.691539,69.801060,,,
103,114.707422,30.691254,,,
104,92.556619,67.340765,,,
105,-98.401740,67.304558,,,
106,117.234642,34.619837,,,
107,93.970282,69.170974,,,
108,-95.864526,55.307454,,,
110,98.915350,72.226473,,,
112,-102.227357,54.596564,,,
113,114.508497,30.428828,,,
114,99.130178,72.353933,,,
116,99.122885,72.350106,,,
117,-107.540279,70.060984,,,
