HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,name,,,,
N/A,,Wiley,British Columbia,Canada,V9N 1P9,,67.4155333558306,-126.377694045249,,,,,
N/A,,Marsh lake,Yukon,Canada,Y0B 1T0,,59.9826919636923,-134.179317812668,,,,,
N/A,,Truly,Montana,Canada,T9K 0K4,,64.9714280082563,-111.432358446463,,,,,
N/A,,Sayward,British Columbia,Canada,V0J 2T0,,67.1863708828586,-125.982007122264,Colville Lake,,,,
0,Winter Trl,Kotlik,AK,United States,99620-0316,Wade Hampton,62.6393282110557,-163.556980334003,,,,,
N/A,,Star City,Saskatchewan,Canada,S0J 0Z0,,55.4181346263251,-104.341226464688,,,,,
N/A,,Blair Crossing,Montana,Canada,T0B 0C0,,65.8789526122032,-112.300403496523,,,,,
N/A,,Bergland,Ontario,Canada,P0X 1M0,,50.2171620460992,-94.3826717298093,,,,,
N/A,,Hines Creek,Alberta,Canada,T0H 0G0,,65.0388373933695,-118.595150417946,Hottah Lake,,,,
N/A,,Berylvale,Ontario,Canada,P3P 0B6,,48.4617215739495,-80.9978317362461,,,,,
N/A,,Waldheim,Saskatchewan,Canada,S0K 2T0,,71.0532852389237,-106.62629847051,Zeta Lake,,,,
N/A,,Golden,British Columbia,Canada,V0A 1H2,,67.3746167421593,-116.972026477743,,,,,
N/A,,Broadbent,Ontario,Canada,P2B 3K2,,46.2532547101441,-79.8435816912243,Lake Nipissing,,,,
N/A,,Elmgrove,Ontario,Canada,K7H 3E2,,44.753911028599,-76.2173755618582,Big Rideau Lake,,,,
N/A,,Ferme-Lefebvre,Quebec,Canada,J9E 3H9,,48.5447322578006,-75.948798046286,,,,,
0,,Williamsburg,NM,United States,87901-3520,Sierra,33.0173189157322,-107.28834133199,Caballo Reservoir,,,,
N/A,,Embarcadero Betanga,Nayarit,Mexico,63563,,21.8665114158574,-105.468178441335,,,,,
N/A,,Grouard,Alberta,Canada,X0E 1R0,,64.2393444240798,-116.169489198005,,,,,
N/A,,Waugh,Manitoba,Canada,R0E 2H0,,56.4462013403325,-95.1986619946197,,,,,
