X,Y,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label
30.8922457095346,38.059334867307,Lake,9,Egridir,Egridir,,,New or modified in version 1.2,,-99,,7,8
31.5081864241111,37.7895501447908,Lake,7,Beysehir,Beysehir,,,New or modified in version 1.2,,-99,,5.7,6.7
33.4865619280378,65.7457528446762,Lake,5,Engozero,Engozero,,,New or modified in version 1.2,,-99,,4.7,6
30.7884090196577,66.1674294567923,Lake,4,Pjrvi,Pjrvi,"Lake Pya, Ozero Pjaozero",,New or modified in version 1.2,,-99,,4,5
66.094096613973,65.7676829721475,Lake,9,Ozero Pitlyarskiy Sor,O. Pitlyarskiy Sor,Lake Pitlyarskiy Sor,,New or modified in version 1.2,,-99,,7,8
-120.35408144591,65.92752269318,Lake,0,Great Bear Lake,Great Bear L.,,,,,-99,,1,3
-113.92767269397,61.8168748398498,Lake,0,Great Slave Lake,Great Slave L.,,,,,-99,,1,3
-111.352894956243,62.6693533520231,Lake,0,McLeod Bay,McLeod Bay,,,,,-99,,1,3
-97.4814590690484,52.4006079590984,Lake,0,Lake Winnipeg,L. Winnipeg,,,,,-99,,1,3
-80.9666995691615,42.2469589398821,Lake,0,Lake Erie,L. Erie,Great Lakes,,,,-99,admin-0,1,3
-77.6453632715263,43.8490357017962,Lake,0,Lake Ontario,L. Ontario,Great Lakes,,,,-99,admin-0,1,3
-82.6838185814964,42.5040860049316,Lake,0,Lake St. Clair,L. St. Clair,Great Lakes,,,,-99,admin-0,1,3
-80.8461673315162,26.9417905137981,Lake,1,Lake Okeechobee,L. Okeechobee,,,,,-99,,1.7,3.6
-85.3084447027541,11.5717147976815,Lake,1,Lago de Nicaragua,L. de Nicaragua,,,,,-99,,1.7,3.6
-100.15037166727,53.9480801754295,Lake,4,,,,,,,-99,,4,5
-103.340301534505,58.1189254927582,Lake,2,Wollaston Lake,Wollaston L.,,,,,-99,,2,3.7
-102.344239742893,57.2197902664345,Lake,2,Reindeer Lake,Reindeer L.,,,,,-99,,2,3.7
-94.8218326539695,49.4238507234794,Lake,2,Lake of the Woods,L. of the Woods,,,,,-99,,2,5
-88.3486154067918,49.8325753140017,Lake,2,Lake Nipigon,L. Nipigon,,,,,-99,,2,3.7
-98.8446788308353,50.9970798009346,Lake,2,Lake Manitoba,L. Manitoba,,,,,-99,,2,3.7
-100.044725309626,52.3800024701991,Lake,2,Lake Winnipegosis,L. Winnipegosis,,,,,-99,,2,5
-110.20125956507,59.0354282025826,Lake,2,Lake Athabasca,L. Athabasca,,,,,-99,,2,3.7
-73.8378699921617,50.7149317850789,Lake,2,Lake Mistassini,L. Mistassini,,,,,-99,,2,3.7
-75.9018279406086,43.2186549235438,Lake,3,Oneida Lake,Oneida L.,,,,,-99,,3,4
-155.194920057246,59.5598378950677,Lake,3,Iliamna Lake,Iliamna L.,,,,,-99,,3,4
-156.198293391047,57.8542921424668,Lake,3,,,,_untitled_1,,,-99,,3,4
-120.046055156602,39.0985874181454,Lake,3,Lake Tahoe,L. Tahoe,,,,,-99,,3,4
-88.4232554144716,44.0277147269652,Lake,3,Lake Winnebago,L. Winnebago,,,,,-99,,3,6
-70.381744134619,66.4978531894976,Lake,3,Nettilling Lake,Nettilling L.,,,,,-99,,3,4
-101.656513153124,63.1203191947888,Lake,3,Dubawnt Lake,Dubawnt L.,,,,,-99,,3,4
-94.9168249817426,64.1268973275156,Lake,3,Baker Lake,Baker L.,,,,,-99,,3,4
-73.3244896535007,44.4161281927154,Lake,3,Lake Champlain,L. Champlain,,,,,-99,,3,4
-108.320779121007,56.1689103325744,Lake,3,Churchill Lake,Churchill L.,,,,,-99,,3,4
-118.259117226402,63.3430056569639,Lake,3,Lac la Martre,L. la Martre,,,,,-99,,3,4
